2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFitDecreasing\near-half\test22.txt",497778,1.43582,1.31836,us,,,,,,4,6
"BestFit\near-half\test22.txt",497778,1.34625,1.25558,us,,,,,,4,6
"BestFitDecreasing\near-half\test22.txt",448000,1.74108,1.70898,us,,,,,,4,6
"FirstFit\near-half\test23.txt",235789,2.9602,2.91574,us,,,,,,9,14
"FirstFitDecreasing\near-half\test23.txt",213333,3.20573,3.07618,us,,,,,,8,14
"BestFit\near-half\test23.txt",203636,3.64522,3.68304,us,,,,,,9,14
"BestFitDecreasing\near-half\test23.txt",165926,4.24145,4.14341,us,,,,,,8,14
"FirstFit\near-half\test24.txt",213333,3.45481,3.36915,us,,,,,,11,16
"FirstFitDecreasing\near-half\test24.txt",172308,4.08109,4.08063,us,,,,,,10,16
"BestFit\near-half\test24.txt",160000,4.55623,4.58984,us,,,,,,10,16
"BestFitDecreasing\near-half\test24.txt",112000,5.20999,5.16183,us,,,,,,10,16
"FirstFit\random\test0.txt",100000,5.11221,5.15625,us,,,,,,15,27
"FirstFitDecreasing\random\test0.txt",112000,6.33862,6.41741,us,,,,,,13,27
"BestFit\random\test0.txt",89600,7.99373,7.84738,us,,,,,,15,27
"BestFitDecreasing\random\test0.txt",74667,10.0826,10.0446,us,,,,,,13,27
"FirstFit\random\test1.txt",112000,5.99082,5.99888,us,,,,,,18,28
"FirstFitDecreasing\random\test1.txt",74667,7.63911,7.32419,us,,,,,,16,28
"BestFit\random\test1.txt",89600,8.81899,8.37054,us,,,,,,17,28
"BestFitDecreasing\random\test1.txt",64000,11.5871,11.4746,us,,,,,,16,28
"FirstFit\random\test2.txt",213333,3.37188,3.00293,us,,,,,,11,18
"FirstFitDecreasing\random\test2.txt",160000,4.4802,4.29688,us,,,,,,10,18
"BestFit\random\test2.txt",154483,4.84757,4.75376,us,,,,,,10,18
"BestFitDecreasing\random\test2.txt",100000,6.00326,6.09375,us,,,,,,10,18
"FirstFit\random\test3.txt",320000,5.44664,4.98047,us,,,,,,7,12
"FirstFitDecreasing\random\test3.txt",89600,7.67561,6.97545,us,,,,,,7,12
"BestFit\random\test3.txt",89600,9.05383,7.84738,us,,,,,,7,12
"BestFitDecreasing\random\test3.txt",89600,10.6319,8.89369,us,,,,,,7,12
"FirstFit\random\test4.txt",100000,6.74981,6.40625,us,,,,,,8,13
"FirstFitDecreasing\random\test4.txt",100000,7.2624,6.5625,us,,,,,,7,13
"BestFit\random\test4.txt",89600,9.10902,7.84738,us,,,,,,8,13
"BestFitDecreasing\random\test4.txt",64000,11.4489,10.498,us,,,,,,7,13
"FirstFit\random\test5.txt",56000,11.4473,9.76562,us,,,,,,12,20
"FirstFitDecreasing\random\test5.txt",62916,12.1517,8.4438,us,,,,,,12,20
"BestFit\random\test5.txt",56000,16.8565,12.5558,us,,,,,,12,20
"BestFitDecreasing\random\test5.txt",40727,19.7754,16.8807,us,,,,,,12,20
"FirstFit\random\test6.txt",213333,3.62894,3.00293,us,,,,,,4,6
"FirstFitDecreasing\random\test6.txt",224000,4.25228,3.55748,us,,,,,,4,6
"BestFit\random\test6.txt",235789,4.02862,3.71094,us,,,,,,4,6
"BestFitDecreasing\random\test6.txt",173021,4.53151,3.70259,us,,,,,,4,6
"FirstFit\random\test7.txt",49778,16.0826,14.4391,us,,,,,,17,26
"FirstFitDecreasing\random\test7.txt",40727,18.308,16.8807,us,,,,,,16,26
"BestFit\random\test7.txt",37333,20.334,15.9042,us,,,,,,17,26
"BestFitDecreasing\random\test7.txt",29867,22.6178,21.4493,us,,,,,,16,26
"FirstFit\random\test8.txt",112000,7.18853,6.55692,us,,,,,,8,15
