2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"Backtracking_Unsoreted_no_prune\near-half\test12.txt",40727,18.4249,18.4153,us,,,,,,5,7
"Backtracking_Unsoreted_better_prune\near-half\test12.txt",56000,14.2902,14.5089,us,,,,,,5,7
"Backtracking_Unsoreted_best_prune\near-half\test12.txt",74667,14.3281,14.2298,us,,,,,,5,7
"Backtracking_Soreted_asc_no_prune\near-half\test12.txt",29867,22.2786,21.9724,us,,,,,,5,7
"Backtracking_Soreted_asc_better_prune\near-half\test12.txt",40727,18.5452,18.799,us,,,,,,5,7
"Backtracking_Soreted_asc_best_prune\near-half\test12.txt",37333,18.848,18.8339,us,,,,,,5,7
"Backtracking_Soreted_desc_no_prune\near-half\test12.txt",89600,9.13676,8.89369,us,,,,,,5,7
"Backtracking_Soreted_desc_better_prune\near-half\test12.txt",179200,3.86136,3.8365,us,,,,,,5,7
"Backtracking_Soreted_desc_best_prune\near-half\test12.txt",179200,3.97673,3.92369,us,,,,,,5,7
"FirstFit\near-half\test13.txt",112000,5.17928,5.02232,us,,,,,,16,25
"FirstFitDecreasing\near-half\test13.txt",112000,6.05148,6.13839,us,,,,,,15,25
"BestFit\near-half\test13.txt",89600,7.60164,7.67299,us,,,,,,16,25
"BestFitDecreasing\near-half\test13.txt",64000,9.28594,8.78906,us,,,,,,15,25
"FirstFit\near-half\test14.txt",112000,5.32428,5.30134,us,,,,,,15,26
"FirstFitDecreasing\near-half\test14.txt",112000,6.30991,6.41741,us,,,,,,14,26
"BestFit\near-half\test14.txt",89600,7.49081,7.4986,us,,,,,,15,26
"BestFitDecreasing\near-half\test14.txt",74667,9.67891,9.62607,us,,,,,,14,26
"FirstFit\near-half\test15.txt",560000,1.17061,1.17188,us,,,,,,4,6
"FirstFitDecreasing\near-half\test15.txt",497778,1.39186,1.38114,us,,,,,,3,6
"BestFit\near-half\test15.txt",497778,1.38606,1.41253,us,,,,,,3,6
"BestFitDecreasing\near-half\test15.txt",448000,1.58509,1.56948,us,,,,,,3,6
"Backtracking_Unsoreted_no_prune\near-half\test15.txt",74667,9.39619,9.41681,us,,,,,,3,6
"Backtracking_Unsoreted_better_prune\near-half\test15.txt",160000,4.3999,4.39453,us,,,,,,3,6
"Backtracking_Unsoreted_best_prune\near-half\test15.txt",154483,4.4673,4.24804,us,,,,,,3,6
"Backtracking_Soreted_asc_no_prune\near-half\test15.txt",40727,16.58,16.497,us,,,,,,3,6
"Backtracking_Soreted_asc_better_prune\near-half\test15.txt",56000,12.5208,12.5558,us,,,,,,3,6
"Backtracking_Soreted_asc_best_prune\near-half\test15.txt",56000,12.6189,11.9978,us,,,,,,3,6
"Backtracking_Soreted_desc_no_prune\near-half\test15.txt",89600,6.89841,6.62667,us,,,,,,3,6
"Backtracking_Soreted_desc_better_prune\near-half\test15.txt",235789,2.98608,2.98201,us,,,,,,3,6
"Backtracking_Soreted_desc_best_prune\near-half\test15.txt",235789,3.04613,3.04828,us,,,,,,3,6
"FirstFit\near-half\test16.txt",640000,1.17085,1.14746,us,,,,,,3,6
"FirstFitDecreasing\near-half\test16.txt",497778,1.41872,1.44392,us,,,,,,3,6
"BestFit\near-half\test16.txt",560000,1.37106,1.36719,us,,,,,,3,6
"BestFitDecreasing\near-half\test16.txt",497778,1.63399,1.63225,us,,,,,,3,6
"Backtracking_Unsoreted_no_prune\near-half\test16.txt",44800,15.1653,14.9972,us,,,,,,3,6
"Backtracking_Unsoreted_better_prune\near-half\test16.txt",149333,4.68959,4.6038,us,,,,,,3,6
"Backtracking_Unsoreted_best_prune\near-half\test16.txt",112000,4.74551,4.7433,us,,,,,,3,6
"Backtracking_Soreted_asc_no_prune\near-half\test16.txt",34462,19.517,19.0427,us,,,,,,3,6
"Backtracking_Soreted_asc_better_prune\near-half\test16.txt",64000,10.2796,10.2539,us,,,,,,3,6
"Backtracking_Soreted_asc_best_prune\near-half\test16.txt",64000,10.5113,10.498,us,,,,,,3,6
"Backtracking_Soreted_desc_no_prune\near-half\test16.txt",74667,12.204,12.1372,us,,,,,,3,6
"Backtracking_Soreted_desc_better_prune\near-half\test16.txt",235789,2.98096,2.98201,us,,,,,,3,6
"Backtracking_Soreted_desc_best_prune\near-half\test16.txt",248889,3.03048,3.01339,us,,,,,,3,6
"FirstFit\near-half\test17.txt",160000,4.90056,4.88281,us,,,,,,14,22
"FirstFitDecreasing\near-half\test17.txt",112000,5.63845,5.58036,us,,,,,,13,22
"BestFit\near-half\test17.txt",112000,6.40318,5.99888,us,,,,,,14,22
"BestFitDecreasing\near-half\test17.txt",74667,7.95894,7.95197,us,,,,,,13,22
"FirstFit\near-half\test18.txt",203636,3.4699,3.22266,us,,,,,,10,17
"FirstFitDecreasing\near-half\test18.txt",172308,4.13411,4.17131,us,,,,,,10,17
"BestFit\near-half\test18.txt",160000,4.59436,4.49219,us,,,,,,10,17
"BestFitDecreasing\near-half\test18.txt",112000,5.70455,5.71987,us,,,,,,10,17
"Backtracking_Unsoreted_no_prune\near-half\test18.txt",4,168941,167969,us,,,,,,10,17
"Backtracking_Unsoreted_better_prune\near-half\test18.txt",64,11978.5,11718.8,us,,,,,,10,17
"Backtracking_Unsoreted_best_prune\near-half\test18.txt",56,11674.3,11718.8,us,,,,,,10,17
"Backtracking_Soreted_asc_no_prune\near-half\test18.txt",2,406888,406250,us,,,,,,10,17
"Backtracking_Soreted_asc_better_prune\near-half\test18.txt",4,184666,187500,us,,,,,,10,17
"Backtracking_Soreted_asc_best_prune\near-half\test18.txt",4,186114,179688,us,,,,,,10,17
"Backtracking_Soreted_desc_no_prune\near-half\test18.txt",18,39010.8,39062.5,us,,,,,,10,17
"Backtracking_Soreted_desc_better_prune\near-half\test18.txt",37333,17.3829,17.1598,us,,,,,,10,17
"Backtracking_Soreted_desc_best_prune\near-half\test18.txt",37333,17.9369,17.9968,us,,,,,,10,17
"FirstFit\near-half\test19.txt",112000,6.28215,6.2779,us,,,,,,17,28
"FirstFitDecreasing\near-half\test19.txt",112000,13.4434,12.5558,us,,,,,,16,28
"BestFit\near-half\test19.txt",74667,8.87599,8.57976,us,,,,,,16,28
"BestFitDecreasing\near-half\test19.txt",56000,11.2561,11.1607,us,,,,,,16,28
"FirstFit\near-half\test20.txt",194783,3.66093,3.60979,us,,,,,,10,18
"FirstFitDecreasing\near-half\test20.txt",160000,4.41001,4.39453,us,,,,,,10,18
"BestFit\near-half\test20.txt",144516,4.93931,4.9735,us,,,,,,10,18
"BestFitDecreasing\near-half\test20.txt",112000,6.21954,5.99888,us,,,,,,10,18
"Backtracking_Unsoreted_no_prune\near-half\test20.txt",1,1.45613e+06,1.4375e+06,us,,,,,,10,18
"Backtracking_Unsoreted_better_prune\near-half\test20.txt",10,57184.8,57812.5,us,,,,,,10,18
"Backtracking_Unsoreted_best_prune\near-half\test20.txt",11,58307.3,58238.6,us,,,,,,10,18
"Backtracking_Soreted_asc_no_prune\near-half\test20.txt",1,7.1543e+06,7.0625e+06,us,,,,,,10,18
"Backtracking_Soreted_asc_better_prune\near-half\test20.txt",1,2.96709e+06,2.9375e+06,us,,,,,,10,18
"Backtracking_Soreted_asc_best_prune\near-half\test20.txt",1,3.0003e+06,2.98438e+06,us,,,,,,10,18
"Backtracking_Soreted_desc_no_prune\near-half\test20.txt",1,1.06631e+06,1.0625e+06,us,,,,,,10,18
"Backtracking_Soreted_desc_better_prune\near-half\test20.txt",74667,9.11175,8.57976,us,,,,,,10,18
"Backtracking_Soreted_desc_best_prune\near-half\test20.txt",74667,9.30944,9.20755,us,,,,,,10,18
"FirstFit\near-half\test21.txt",100000,5.05941,5,us,,,,,,15,25
"FirstFitDecreasing\near-half\test21.txt",112000,5.95377,5.85938,us,,,,,,14,25
"BestFit\near-half\test21.txt",112000,6.96304,6.97545,us,,,,,,15,25
"BestFitDecreasing\near-half\test21.txt",74667,9.35947,9.41681,us,,,,,,14,25
