2026-01-21T21:31:26+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"Backtracking_Sorted_desc_best_prune\two-cat\test14.txt",167253,4.51517,4.3908,us,,,,,,4,9
"Backtracking_Sorted_desc_better_prune\two-cat\test16.txt",89600,6.39601,6.2779,us,,,,,,4,14
"Backtracking_Sorted_desc_best_prune\two-cat\test16.txt",112000,6.54054,6.41741,us,,,,,,4,14
"Backtracking_Sorted_desc_better_prune\two-cat\test17.txt",20364,35.5627,34.5278,us,,,,,,5,19
"Backtracking_Sorted_desc_best_prune\two-cat\test17.txt",20364,34.8458,32.9933,us,,,,,,5,19
"Backtracking_Sorted_desc_better_prune\two-cat\test18.txt",89600,6.82074,6.62667,us,,,,,,5,14
"Backtracking_Sorted_desc_best_prune\two-cat\test18.txt",100000,6.90641,6.71875,us,,,,,,5,14
"Backtracking_Sorted_desc_better_prune\two-cat\test20.txt",89600,9.23498,8.89369,us,,,,,,4,14
"Backtracking_Sorted_desc_best_prune\two-cat\test20.txt",74667,9.37647,8.3705,us,,,,,,4,14
"Backtracking_Sorted_desc_better_prune\two-cat\test21.txt",64000,10.0735,9.76562,us,,,,,,7,17
"Backtracking_Sorted_desc_best_prune\two-cat\test21.txt",64000,9.9313,9.52148,us,,,,,,7,17
"Backtracking_Sorted_desc_better_prune\two-cat\test22.txt",89600,8.83781,8.54492,us,,,,,,7,17
"Backtracking_Sorted_desc_best_prune\two-cat\test22.txt",74667,8.83862,8.57976,us,,,,,,7,17
"Backtracking_Sorted_desc_better_prune\two-cat\test23.txt",112000,7.27254,6.97545,us,,,,,,6,16
"Backtracking_Sorted_desc_best_prune\two-cat\test23.txt",112000,7.35242,6.83594,us,,,,,,6,16
